period_period,period_ratio,title,year
2021-01,32.85876,공릉2,2021
2021-02,56.71981,공릉2,2021
2021-03,70.61503,공릉2,2021
2021-04,71.58314,공릉2,2021
2021-05,95.2164,공릉2,2021
2021-06,81.49202,공릉2,2021
2021-07,53.18906,공릉2,2021
2021-08,64.57858,공릉2,2021
2021-09,76.82232,공릉2,2021
2021-10,84.79498,공릉2,2021
2021-11,64.92027,공릉2,2021
2021-12,60.07972,공릉2,2021
2022-01,61.10478,공릉2,2022
2022-02,58.82687,공릉2,2022
2022-03,64.17995,공릉2,2022
2022-04,89.80637,공릉2,2022
2022-05,100.0,공릉2,2022
2022-06,76.59453,공릉2,2022
2022-07,63.95216,공릉2,2022
2022-08,63.83826,공릉2,2022
2022-09,71.52619,공릉2,2022
2022-10,71.24145,공릉2,2022
2022-11,63.72437,공릉2,2022
2022-12,56.20728,공릉2,2022
2023-01,51.65148,공릉2,2023
2023-02,58.08656,공릉2,2023
2023-03,71.98177,공릉2,2023
2023-04,68.79271,공릉2,2023
2023-05,67.31207,공릉2,2023
2023-06,53.24601,공릉2,2023
2023-07,43.50797,공릉2,2023
2023-08,47.03872,공릉2,2023
2023-09,42.53986,공릉2,2023
2023-10,53.24601,공릉2,2023
2023-11,37.58542,공릉2,2023
2023-12,41.85649,공릉2,2023
2021-01,14.43529,안국,2021
2021-02,29.3147,안국,2021
2021-03,36.60484,안국,2021
2021-04,35.19191,안국,2021
2021-05,39.79657,안국,2021
2021-06,34.67875,안국,2021
2021-07,25.15187,안국,2021
2021-08,32.19808,안국,2021
2021-09,38.94283,안국,2021
2021-10,48.258,안국,2021
2021-11,51.30706,안국,2021
2021-12,39.00497,안국,2021
2022-01,46.96014,안국,2022
2022-02,44.01693,안국,2022
2022-03,49.86883,안국,2022
2022-04,65.4432,안국,2022
2022-05,72.06599,안국,2022
2022-06,63.287,안국,2022
2022-07,69.99263,안국,2022
2022-08,69.50018,안국,2022
2022-09,68.70397,안국,2022
2022-10,95.20894,안국,2022
2022-11,100.0,안국,2022
2022-12,87.67949,안국,2022
2023-01,87.46778,안국,2023
2023-02,99.96778,안국,2023
2023-03,96.70931,안국,2023
2023-04,83.52126,안국,2023
2023-05,75.19099,안국,2023
2023-06,67.22662,안국,2023
2023-07,72.56305,안국,2023
2023-08,72.6643,안국,2023
2023-09,74.49374,안국,2023
2023-10,81.69412,안국,2023
2023-11,67.15528,안국,2023
2023-12,72.57455,안국,2023
2021-01,25.33611,서촌,2021
2021-02,51.00629,서촌,2021
2021-03,56.76546,서촌,2021
2021-04,55.24511,서촌,2021
2021-05,63.75225,서촌,2021
2021-06,63.49611,서촌,2021
2021-07,55.5284,서촌,2021
2021-08,71.98909,서촌,2021
2021-09,78.7941,서촌,2021
2021-10,93.3567,서촌,2021
2021-11,100.0,서촌,2021
2021-12,62.21419,서촌,2021
2022-01,68.85276,서촌,2022
2022-02,60.22758,서촌,2022
2022-03,67.97573,서촌,2022
2022-04,75.34733,서촌,2022
2022-05,94.80505,서촌,2022
2022-06,85.04668,서촌,2022
2022-07,67.53426,서촌,2022
2022-08,68.20354,서촌,2022
2022-09,71.98083,서촌,2022
2022-10,85.96149,서촌,2022
2022-11,70.26924,서촌,2022
2022-12,57.57167,서촌,2022
2023-01,58.09341,서촌,2023
2023-02,63.95174,서촌,2023
2023-03,67.79749,서촌,2023
2023-04,62.12212,서촌,2023
2023-05,62.82328,서촌,2023
2023-06,52.76272,서촌,2023
2023-07,50.58488,서촌,2023
2023-08,49.56384,서촌,2023
2023-09,53.90771,서촌,2023
2023-10,70.52421,서촌,2023
2023-11,63.15969,서촌,2023
2023-12,57.21165,서촌,2023
